Z mean train,Q Predictions Max,Q Predictions Mean,Number of env steps total,Train Time (s),Q Predictions Min,QF Loss,RF Loss,KL Divergence,Policy log std Max,Policy Loss,Sample Time (s),Number of rollouts total,Policy log std Mean,Epoch,Log Pis Std,Epoch Time (s),KL Loss,Z mean eval,AverageReturn_all_train_tasks,R Predictions Mean,Policy log std Std,AverageReturn_all_test_tasks,Log Pis Mean,Policy log std Min,R Predictions Max,Q Predictions Std,R Predictions Std,VF Loss,V Predictions Std,V Predictions Min,Number of train steps total,Total Train Time (s),Log Pis Max,Z variance eval,Policy mu Std,Z variance train,Log Pis Min,Policy mu Min,R Predictions Min,V Predictions Max,Policy mu Mean,V Predictions Mean,(Previous) Eval Time (s),Policy mu Max
0.00169146,0.00142199,0.000723541,90000,104.1517420969999,-4.00033e-05,8.73325,4.19533,198.00521850585938,0.000846519,-2.65308,198.51959368399685,700,0.000116583,0,0.437481,302.67133578099674,19.800521850585938,0.0166224,-22.2837386531,-0.00453853,0.000416716,-22.2926101352,-2.67013,-0.000424321,-0.00397898,0.000251199,0.000283867,7.25915,9.50692e-05,-0.00561056,1000,400.51049531799663,-1.26468,1.00212,0.000381244,0.0108352,-4.52407,-0.000247474,-0.0052069,-0.00519037,0.000125739,-0.00544648,0,0.000863622
0.0165032,1.61125,1.46922,105000,104.68679806299997,1.32299,3.09948,5.89992,0.024073854088783264,-0.125485,-4.1861,32.90408151500151,900,-0.132731,1,0.233852,235.3511575750017,0.002407385502010584,0.0269956,-21.994337336,-0.00463175,0.00370973,-21.9938379219,-2.73076,-0.136905,-0.00312045,0.0419333,0.000530209,0.0543221,0.0364658,4.09643,2000,635.6207235489992,-2.11674,0.989639,0.0076894,0.995356,-4.90545,-0.0082728,-0.00589579,4.29895,0.0014338,4.19528,97.76027799700023,0.0116351
0.0271407,6.39004,5.22726,120000,104.03795359200012,-0.856486,3.5067,4.70796,0.07432043552398682,-0.126647,-7.98947,32.94084041299857,1100,-0.131322,2,0.26543,234.4977797739989,0.007432043552398682,0.0190111,-22.6578203142,-0.00464535,0.00243151,-22.6534281685,-2.73798,-0.136349,-0.00310424,0.838708,0.000527662,0.36447,0.512112,5.7123,3000,870.4398787939977,-2.13308,1.01022,0.011119,0.993407,-9.66407,-0.0170343,-0.00607259,9.55582,0.00144398,7.87656,97.51898576900021,0.0130154
0.0187269,11.4631,8.86463,135000,104.703708688,3.65794,3.48198,4.05265,0.034055378288030624,-0.122443,-11.6185,32.96277541799782,1300,-0.12722,3,0.239096,235.5075704009978,0.00340553792193532,0.0287814,-22.8190784642,-0.00466804,0.00209013,-22.8166827349,-2.73449,-0.130906,-0.00375296,1.0688,0.00040453,0.307525,0.885986,8.2966,4000,1105.2969694039948,-2.07635,0.982501,0.00816369,0.996451,-4.6946,-0.00566967,-0.00562461,14.4094,0.00157215,11.3096,97.84108629499997,0.0151424
0.0287275,16.9265,12.466,150000,103.94542326400006,-1.88125,4.83052,5.14901,0.07557040452957153,-0.12684,-15.1861,32.85060559900148,1500,-0.133926,4,0.235989,233.98680120600147,0.007557040546089411,0.0313046,-22.3824632765,-0.00463932,0.00239775,-22.3153537749,-2.73753,-0.138372,-0.00363631,2.30806,0.000404846,0.209397,2.16842,2.15886,5000,1338.8166219629957,-2.11642,0.969211,0.00829882,0.981024,-6.23316,-0.00788112,-0.00557456,20.6792,0.00481536,15.1899,97.19077234299994,0.0171369
0.03111,21.2507,15.7029,165000,105.55449560099987,-9.65795,4.76539,3.7786,0.12623938918113708,-0.123089,-18.3291,32.356992140998955,1700,-0.134498,5,0.231247,234.63447654399852,0.012623938731849194,0.0327728,-22.7539230779,-0.00462546,0.00490585,-22.7888785165,-2.73154,-0.151045,-0.00375775,3.88115,0.00035195,0.245963,3.77217,-4.71114,6000,1573.209420999994,-2.00593,0.98665,0.0208249,0.963811,-5.51986,-0.0851488,-0.0055042,25.1507,0.00299828,18.4081,96.72298880199969,0.0697845
0.0325795,24.5873,18.3088,180000,104.2958499059996,-14.3117,10.3023,5.13705,0.10074211657047272,-0.0977875,-20.9689,32.705161319000126,1900,-0.131185,6,0.242271,233.48283989999936,0.010074212215840816,0.0334799,-20.5953633703,-0.0046291,0.00601146,-20.7012385314,-2.73299,-0.157636,-0.00356941,5.54934,0.000443685,0.481477,5.41226,-11.0159,7000,1806.8853962009948,-1.79769,0.967586,0.0346514,0.980269,-4.82618,-0.153248,-0.00584091,27.6352,0.00477412,20.6275,96.48182867499963,0.127574
0.032953,33.4869,20.5646,195000,105.52231948700046,-32.7769,8.81745,7.31229,0.11631663888692856,-0.106651,-23.119,32.75560999099798,2100,-0.130722,7,0.261435,234.95304590699834,0.011631663888692856,0.0366564,-21.9944189264,-0.00464318,0.00583532,-21.9583426481,-2.72403,-0.144687,-0.00339368,7.99952,0.000357614,0.639157,7.88113,-21.9406,8000,2041.5917944129928,-1.77418,0.962571,0.0490599,0.952093,-6.6138,-0.210025,-0.0055121,35.1179,0.0090534,22.804,96.6751164289999,0.179116
0.036547,30.7681,23.1584,210000,104.55181094499949,-29.1315,12.6322,4.23876,0.2012334018945694,-0.1086,-25.977,32.61863664200155,2300,-0.12932,8,0.28544,233.59902378100105,0.02012334018945694,0.00926033,-20.0386075284,-0.00452938,0.00494321,-19.9206933113,-2.7329,-0.144572,-0.00347862,9.08611,0.00053348,0.654186,9.05175,-25.7084,9000,2275.6837923089956,-1.76451,0.966487,0.0603473,0.959839,-5.51657,-0.230755,-0.00589989,33.9557,0.0132312,26.1699,96.42857619400002,0.196239
0.00920048,45.0539,26.6938,225000,104.56563864000054,-44.7076,9.66364,3.11012,0.04435058683156967,-0.0973893,-29.4044,32.730703183001424,2500,-0.131157,9,0.274081,234.21840629100188,0.004435058683156967,0.0253532,-20.9179934062,-0.00475504,0.00710159,-20.8917830386,-2.72142,-0.160265,-0.00358243,9.26605,0.000455658,0.749043,9.23507,-39.0187,10000,2509.7075242999967,-1.7081,0.965184,0.0664663,0.960067,-5.46963,-0.252988,-0.00595224,46.8771,0.0109081,29.0409,96.92206446799992,0.237117
