Policy log std Mean,Q Predictions Std,Policy mu Std,Train Time (s),V Predictions Mean,R Predictions Max,QF Loss,Policy mu Min,VF Loss,Q Predictions Mean,AverageReturn_all_test_tasks,Policy Loss,R Predictions Min,(Previous) Eval Time (s),V Predictions Std,Log Pis Mean,Z mean eval,Total Train Time (s),Z variance eval,Policy log std Max,Policy log std Std,Policy mu Mean,V Predictions Min,Sample Time (s),Epoch Time (s),Q Predictions Min,KL Divergence,RF Loss,V Predictions Max,KL Loss,Log Pis Max,Epoch,R Predictions Mean,Number of train steps total,Log Pis Std,Z variance train,AverageReturn_all_train_tasks,Z mean train,Q Predictions Max,Policy log std Min,R Predictions Std,Number of env steps total,Policy mu Max,Number of rollouts total,Log Pis Min
0.00016713,0.000335524,0.00149799,101.688772212,-0.00304024,0.00415558,2437.59,-0.00186803,7.50074,0.00285235,-49.2676362593,-2.70015,0.00222766,0,0.00013007,-2.68877,0.491143,385.64879522200084,0.0877793,0.00167143,0.00140039,-9.03046e-05,-0.00332822,190.81722538000082,292.5059975920008,0.002015,198.03240966796875,2588.72,-0.00271901,19.803241729736328,-1.19863,0,0.00318264,1000,0.439887,0.01083,-50.1293271508,0.00276701,0.00373829,-0.00216576,0.000336095,90000,0.00243082,700,-5.8564
-0.103881,4.99777,0.184009,101.46499345000007,14.2552,0.00410435,45.6029,-0.247007,11.7982,11.9304,-35.3810990075,-14.4473,0.00186571,92.94941176500004,3.78689,-2.62613,0.730851,610.6560425210007,0.0928646,-0.0834899,0.0138356,0.0359721,9.25867,31.340167232000113,225.7545724470002,9.19702,105.81843566894531,7.48821,43.4402,10.581843376159668,-0.970949,1,0.00309232,2000,0.506868,0.096406,-36.9838182789,0.539685,119.243,-0.129324,0.000385718,105000,0.287145,900,-5.41856
-0.103573,58.524,0.248639,100.79610774000002,29.4925,0.00394998,1602.7,-0.679371,306.875,29.8529,-22.6657908611,-32.8791,0.00193987,92.20283998499997,45.4514,-2.56796,0.748845,834.8932990750006,0.101879,-0.0516299,0.0428872,-0.0218323,16.4407,30.99671259099989,223.99566031599988,14.9469,121.36636352539062,507.215,489.816,12.136636734008789,0.932654,2,0.00288731,3000,0.649967,0.101957,-18.3079016692,0.801305,717.759,-0.403878,0.000361427,120000,1.22345,1100,-6.32085
-0.0759354,198.285,0.339441,102.03300043900003,64.8094,0.00414476,9002.47,-2.03138,321.41,65.2598,-35.8201720196,-68.389,0.0014534,92.444255011,194.473,-2.40573,2.10272,1061.8231469300003,0.2443,-0.00545668,0.100246,0.00331184,17.3351,31.17871299999956,225.6559684499996,14.9516,147.19818115234375,2175.76,2119.09,14.719818115234375,6.21684,3,0.00280006,4000,1.35265,0.083527,-32.2963410548,0.336294,2212.62,-0.612664,0.000511413,135000,1.73844,1300,-5.03171
-0.069997,150.27,0.344573,102.41713527799993,38.3614,0.00387109,511.142,-2.11172,1047.43,37.3568,-46.3460830718,-41.4093,0.00066266,93.71895445300015,129.409,-2.35957,3.86422,1288.857165315002,0.334235,0.101309,0.113823,0.0386837,18.0526,31.395020190001333,227.53110992100142,13.2427,222.4315643310547,604.302,1786.48,22.24315643310547,7.63792,4,0.00243365,5000,1.43253,0.136627,-36.8161701941,1.18252,2015.13,-0.653528,0.000625382,150000,2.14757,1500,-5.64256
-0.1289,12.7027,0.108829,102.90611215100012,35.0521,0.00367217,1998.9,-0.359996,5.92916,30.607,-55.5577289313,-33.2144,0.000430472,93.22199744399995,13.3011,-2.70306,4.86932,1515.9669550550013,0.448939,0.0564386,0.0531428,-0.038634,21.2102,31.544015705999527,227.6721253009996,15.9002,785.150634765625,23.4935,63.5701,78.51506805419922,-1.59434,5,0.00200057,6000,0.375087,0.253025,-54.3661549714,2.9182,84.4644,-0.300883,0.000742941,165000,0.197142,1700,-5.49553
-0.125765,56.3746,0.246165,102.18882754600008,42.1609,0.00360222,553.026,-1.79156,114.186,38.9086,-58.6378747052,-41.1152,0.00043952,92.65979602699986,52.3933,-2.55501,5.58553,1742.8063789460011,0.465703,0.17826,0.0685136,-0.0943543,22.3787,31.553847586998927,226.40247115999887,18.1184,664.54443359375,14.2204,1025.7,66.4544448852539,4.28797,6,0.00192171,7000,0.686442,0.296682,-57.6904011879,3.21284,1284.52,-0.454872,0.000792158,180000,1.62556,1900,-6.42096
-0.134204,45.283,0.310943,101.95388864000006,43.3104,0.00390053,3250.2,-1.86501,311.787,42.8674,-65.7690617032,-44.8755,0.000861681,93.09706371000016,52.2079,-2.40702,3.59854,1969.3263246900015,0.298731,0.150841,0.0623157,-0.134024,21.8315,31.265347322000707,226.31629967200092,18.1815,840.1246948242188,209.737,1750.91,84.0124740600586,6.16022,7,0.00204582,8000,0.86677,0.0918094,-61.8645673598,0.684949,1479.93,-0.666864,0.000777112,195000,2.09641,2100,-6.68178
-0.141091,186.51,0.507242,101.69377625000016,74.5238,0.0039538,6180.64,-2.59112,2261.97,62.9143,-63.0740442574,-65.0908,1.28909e-05,93.30085236800005,205.392,-2.047,1.73212,2195.854391358001,0.182493,0.1626,0.0858588,-0.0636001,24.7263,31.485167681999883,226.4797963000001,16.684,1526.1400146484375,30.3272,5260.97,152.61399841308594,12.372,8,0.00181177,9000,1.9282,0.0421121,-62.9014207405,0.500844,5790.36,-0.895123,0.000972517,210000,2.71242,2300,-7.63149
-0.155294,209.522,0.568406,102.47591474899991,80.6649,0.00371758,1945.24,-2.67979,487.229,81.2712,-61.4734355303,-87.0653,0.000363423,93.34941752499981,207.669,-1.92214,0.803911,2423.018540960002,0.134878,0.199079,0.104171,-0.00273851,25.2094,31.36200224600043,227.18733452000015,22.7948,1028.728515625,14.4294,2693.53,102.87285614013672,13.575,9,0.00164384,10000,2.21534,0.21571,-58.9397702663,2.06165,2690.4,-1.00962,0.000875275,225000,2.80492,2500,-6.20752
