QF Loss,Number of train steps total,Q Predictions Max,AverageReturn_all_train_tasks,Log Pis Std,Z mean train,R Predictions Min,Z variance train,VF Loss,Policy log std Max,Policy log std Std,RF Loss,Total Train Time (s),Policy log std Min,Epoch,V Predictions Std,Epoch Time (s),Number of rollouts total,KL Loss,Policy mu Max,Q Predictions Std,V Predictions Min,Q Predictions Mean,Policy mu Std,Q Predictions Min,Log Pis Mean,Policy Loss,(Previous) Eval Time (s),R Predictions Max,Log Pis Max,V Predictions Mean,Z mean eval,R Predictions Std,V Predictions Max,Policy mu Min,R Predictions Mean,KL Divergence,Number of env steps total,Train Time (s),Policy log std Mean,Sample Time (s),Log Pis Min,Policy mu Mean,Z variance eval,AverageReturn_all_test_tasks
5.23823e+06,1000,0.00525793,17745.4522181,0.436382,0.0124418,0.00100971,0.0107813,7.43651,0.000826352,0.00108786,2.85225e+06,391.22569917099986,-0.00203933,0,0.000116383,297.00650305199974,700,19.833539962768555,0.00112511,0.000507988,0.00165128,0.00360836,0.000510911,0.00229332,-2.67958,-2.69382,0,0.00204186,-1.10472,0.00196369,29.4867,0.000199401,0.00213469,-0.000137549,0.00153561,198.3354034423828,90000,105.33106451399993,-0.000560999,191.67543853799984,-5.05599,0.000489268,0.00847402,18151.794117
1.54835e+06,2000,4459.22,785.789083737,1.69149,32.472,-0.000715567,0.00846597,838.261,-0.100715,0.210199,1.70855e+06,622.1700441430002,-0.553447,1,362.273,230.49024605800048,900,7408.0986328125,1.68189,352.389,3053.69,3821.9,0.785322,3044.64,0.712972,-3822.91,94.02740856500009,0.000448277,3.34126,3807.14,11.3249,0.000294034,4439.51,-0.111372,-9.75178e-05,74080.984375,105000,104.947547042,-0.326469,31.515290451000396,-8.44427,0.790752,0.0109957,786.609067422
2.17881e+06,3000,10174.0,2182.33396406,2.2114,20.2059,0.00111199,0.0262433,41909.4,-0.320751,0.127448,2.86682e+06,852.4819828510001,-0.661847,2,1413.86,231.5011954349999,1100,3172.188232421875,1.54172,1286.94,5427.41,6739.63,1.45133,5068.46,4.74549,-6824.83,94.48122256299996,0.00217173,8.7446,6976.13,13.1289,0.000256835,10590.9,-2.15067,0.00164675,31721.8828125,120000,105.13345362099994,-0.533232,31.88651925099998,-5.88707,-0.867763,0.000156913,2267.0954949
3.22258e+06,4000,17511.6,1799.9706756,6.44515,14.282,5.7084e-05,0.0246418,42756.3,-0.157749,0.182634,1.72229e+06,1083.880941723999,-1.00175,3,2843.67,230.0460868899985,1300,2114.96044921875,3.94562,2916.34,4842.45,9758.03,2.3667,4185.92,11.8615,-9912.21,93.29232250400003,0.00356231,24.5174,9802.53,3.43336,0.000843387,17394.5,-3.84645,0.00160586,21149.603515625,135000,105.12547000999984,-0.632164,31.62829437599862,-6.37248,1.17018,0.00508776,1155.51021057
1.47795e+06,5000,11809.2,11281.5621939,6.79754,5.48462,-0.00272507,0.0093063,269214.0,-0.805704,0.283672,1.57329e+06,1316.8682328929995,-2.41123,4,1506.47,232.79202092000082,1500,283.2382507324219,3.93614,1915.25,2537.26,7861.54,2.77128,746.51,17.068,-8052.9,94.64553675600018,0.0028805,30.255,8160.06,4.93274,0.00134765,10591.7,-4.88687,0.00195893,2832.38232421875,150000,106.10590728000011,-1.3461,32.04057688400053,-0.775298,-1.28932,0.00349999,15461.1269097
6.21111e+06,6000,21993.7,5056.08928448,3.58421,6.25744,-0.00243769,3.8147e-06,693719.0,0.0568909,0.599048,2.01855e+06,1549.7526559740004,-2.27943,5,3621.17,233.00723099000106,1700,324.36114501953125,3.03487,4020.67,4025.94,13424.4,1.63502,3685.87,5.89231,-13461.9,94.84095179899987,0.00282337,20.0626,13454.9,9.52451,0.00199191,21960.2,-3.45665,0.000955107,3243.611328125,165000,106.06229896399987,-1.04831,32.10398022700133,-6.68965,0.515845,0.01326,892.409155777
5.68915e+06,7000,26828.0,7413.5205991,7.2373,9.0243,-0.00593934,0.0125667,426524.0,2.0,1.18516,1.27294e+06,1783.6233383420006,-2.51366,6,3382.74,233.64776467900015,1900,492.8996276855469,4.0675,3522.13,8911.78,17814.0,8.07322,8425.21,10.8886,-17988.3,94.71882840099988,0.00436947,27.3033,18088.7,8.72188,0.00417144,27531.6,-27.4304,-0.000492058,4928.99609375,180000,106.91403575100003,-0.8128,32.014900527000236,-5.7785,-2.06451,0.00942351,3558.82493188
6.88376e+06,8000,32554.1,14180.084036,8.88088,5.16031,-0.00580606,0.0129289,306746.0,2.0,1.16937,1.37044e+06,2016.7081405860013,-2.79976,7,4478.15,233.29467642100076,2100,441.23785400390625,6.92807,4614.02,10401.3,20910.2,8.12204,9651.04,16.6662,-21381.7,94.94152337000014,0.00488918,39.4238,21467.6,7.76793,0.00353587,33715.7,-26.5687,-0.000500837,4412.37841796875,195000,106.3724583610001,-0.82698,31.98069469000052,-5.56202,-1.81617,0.00605135,12508.6312852
1.17849e+07,9000,36848.1,12858.7789329,8.644,7.99895,-0.00498314,0.00645342,334940.0,2.0,1.44648,1.20118e+06,2249.496765566004,-4.11795,8,5583.83,232.78894217000197,2300,422.71240234375,6.13216,5820.16,12090.8,23218.0,9.04143,11074.2,17.4753,-23661.5,94.7321540830003,0.0042501,36.105,23860.2,8.57297,0.00399904,36786.6,-25.6324,-0.00117897,4227.1240234375,210000,106.03503416400008,-1.08771,32.0217539230016,-1.1171,-1.61142,0.00196194,11798.1460865
1.09585e+07,10000,49346.4,12006.5712527,6.63866,3.3972,-0.00498049,0.0102139,500353.0,2.0,1.34751,604664.0,2482.2948178700008,-4.20896,9,5863.62,232.88751879399797,2500,467.7312927246094,7.18911,6179.98,15985.3,28727.5,9.48792,14708.5,22.1093,-29339.7,94.7325086830001,0.00379473,33.9858,29496.2,8.56172,0.00345086,51161.5,-25.73,-0.00196137,4677.31298828125,225000,106.2699633000002,-0.643851,31.885046810997665,-0.347636,-1.74364,0.000727582,14127.4155983
1.70748e+07,11000,51192.3,10970.9568963,7.79684,3.68339,-0.00487146,0.00680618,379244.0,2.0,1.20738,1.03251e+06,2715.2059030620017,-4.0432,10,5003.71,233.0800227529994,2700,502.2137756347656,7.53659,5343.95,21822.7,33770.3,7.00031,20438.6,20.4384,-34458.3,94.64245224099977,0.00494225,40.6791,34455.3,8.85167,0.00410358,49634.7,-24.1721,-0.00146699,5022.1376953125,240000,106.51882865800007,-0.944159,31.918741853999563,-4.41449,-0.344795,0.000372424,11628.7464975
